                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95574,                 2.4917,                 1.4608,                  0.005,                      1,                0.37835,                0.15075,                  2.088,                 3.2349,                 2.2731,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.0453,                 2.5902,                 1.5638,                  0.005,                      1,                0.37122,                0.15161,                 2.0644,                 3.2442,                 2.2433,               0.091891,             0.00089109,             0.00089109
                      2,                0.88833,                 2.4657,                 1.4468,                  0.005,                      1,                0.36149,                0.14888,                  2.038,                 3.1939,                 2.2121,               0.087372,              0.0013723,              0.0013723
                      3,                0.95987,                   2.38,                 1.4773,                  0.005,                      1,                0.41046,                0.17305,                 2.0667,                 3.1829,                 2.1592,               0.082844,              0.0018436,              0.0018436
                      4,                0.84316,                 2.2657,                 1.3664,                0.00458,                0.91667,                0.45283,                0.19147,                 2.0151,                 3.2037,                 2.1006,               0.078305,               0.002305,               0.002305
                      5,                0.77355,                 2.1772,                 1.3679,                  0.005,                      1,                0.55976,                0.23109,                 1.9052,                 3.1754,                 1.9198,               0.073756,              0.0027564,              0.0027564
                      6,                0.76723,                 2.0651,                 1.3705,                  0.005,                      1,                0.63827,                0.28681,                 1.7303,                  3.157,                  1.763,               0.069198,               0.003198,               0.003198
                      7,                0.66232,                 1.8543,                 1.2336,                  0.005,                      1,                0.63827,                0.28681,                 1.7303,                  3.157,                  1.763,                0.06463,              0.0036297,              0.0036297
                      8,                 0.7694,                 1.8919,                  1.339,                  0.005,                      1,                0.53835,                0.25935,                 1.6845,                 3.1373,                 1.7163,               0.060052,              0.0040515,              0.0040515
                      9,                0.70272,                 1.6634,                 1.2866,                  0.005,                      1,                0.45589,                0.23764,                 1.6538,                 3.1025,                 1.6781,               0.055463,              0.0044634,              0.0044634
                     10,                 0.7161,                 1.5835,                 1.2235,                0.02923,                0.83333,                 0.5279,                0.26102,                 1.6195,                  3.115,                 1.6387,               0.050865,              0.0048654,              0.0048654
                     11,                0.67539,                  1.675,                 1.3397,                0.02923,                0.83333,                 0.5279,                0.26102,                 1.6195,                  3.115,                 1.6387,               0.046257,              0.0052575,              0.0052575
                     12,                0.55027,                 1.3194,                 1.1502,                      1,                0.33133,                0.52017,                0.28711,                 1.7755,                 2.9178,                 1.7058,                0.04164,              0.0056397,              0.0056397
